fixture_id,team_id,team_name,player_id,player_name,minutes,number,position,rating,captain,starter,shots_total,shots_on,goals,assists,passes_total,passes_key,passes_accuracy,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red
1208021,33,Manchester United,526,André Onana,90,24,G,7.2,False,True,,,,0,23,,16,,,,,,,,,,0,0
1208021,33,Manchester United,545,Noussair Mazraoui,81,3,D,7.5,False,True,,,,0,38,,35,2,,3,7,6,,,1,,0,0
1208021,33,Manchester United,2935,Harry Maguire,81,5,D,7.3,False,True,,,,0,60,,50,,1,3,9,6,2,1,,2,1,0
1208021,33,Manchester United,2467,Lisandro Martínez,90,6,D,7.2,False,True,,,,0,61,1,54,3,,3,7,3,,,,1,0,0
1208021,33,Manchester United,886,Diogo Dalot,90,20,D,7.3,False,True,,,,0,52,,45,2,1,1,10,6,1,1,1,2,0,0
1208021,33,Manchester United,747,Casemiro,90,18,M,8.5,False,True,3,,,0,53,3,43,4,1,1,13,7,1,,1,1,0,0
1208021,33,Manchester United,284322,Kobbie Mainoo,84,37,M,7.7,False,True,1,,,0,41,,37,3,,5,25,13,5,4,4,3,0,0
1208021,33,Manchester United,157997,Amad Diallo,61,16,M,7.2,False,True,,,,0,29,1,26,1,,2,5,2,1,1,,,0,0
1208021,33,Manchester United,19220,Mason Mount,61,7,M,6.5,False,True,1,1,,0,15,2,11,3,,,11,5,2,,1,1,1,0
1208021,33,Manchester United,909,Marcus Rashford,90,10,M,6.6,False,True,,,,0,29,1,22,,,1,9,2,5,,1,1,0,0
1208021,33,Manchester United,1485,Bruno Fernandes,90,8,F,6.6,True,True,4,3,,0,50,,42,2,,,9,3,1,1,,,0,0
1208021,33,Manchester United,284324,Alejandro Garnacho,29,17,F,6.6,False,False,2,,,1,10,2,9,1,,,7,3,1,,1,,0,0
1208021,33,Manchester United,70100,Joshua Zirkzee,29,11,F,7.3,False,False,1,1,1,0,9,,8,,,,,,,,,,0,0
1208021,33,Manchester United,532,Matthijs de Ligt,9,4,D,6.3,False,False,,,,0,2,,2,,,,1,,,,,,0,0
1208021,33,Manchester United,18772,Jonny Evans,9,35,D,6.7,False,False,,,,0,6,,4,,,,3,1,,,,1,0,0
1208021,33,Manchester United,903,Scott McTominay,11,39,M,6.7,False,False,,,,0,4,,4,,,,1,1,,,,,0,0
1208021,33,Manchester United,50132,Altay Bayındır,,1,G,,False,False,,,,,,,,,,,,,,,,,0,0
1208021,33,Manchester United,9971,Antony,,21,F,,False,False,,,,,,,,,,,,,,,,,0,0
1208021,33,Manchester United,284400,Toby Collyer,,43,M,,False,False,,,,,,,,,,,,,,,,,0,0
1208021,33,Manchester United,174,Christian Eriksen,,14,M,,False,False,,,,,,,,,,,,,,,,,0,0
1208021,36,Fulham,1438,Bernd Leno,90,1,G,6.9,True,True,,,,0,39,,27,,,,1,1,,,,,0,0
1208021,36,Fulham,657,Kenny Tete,90,2,D,7.0,False,True,2,1,,0,24,,18,1,,3,7,2,,,1,,0,0
1208021,36,Fulham,18814,Issa Diop,90,31,D,7.3,False,True,,,,0,35,,28,4,1,,4,4,,,,,0,0
1208021,36,Fulham,152967,Calvin Bassey,90,3,D,6.3,False,True,1,,,0,62,,57,1,1,,6,2,,,,2,1,0
1208021,36,Fulham,19549,Antonee Robinson,90,33,D,7.2,False,True,,,,0,33,,25,8,,2,14,10,1,,,,0,0
1208021,36,Fulham,899,Andreas Pereira,89,18,M,7.2,False,True,,,,0,42,6,31,,,,12,5,1,,3,2,1,0
1208021,36,Fulham,2823,Saša Lukić,89,20,M,6.9,False,True,,,,0,45,,40,3,,1,6,4,,,1,,0,0
1208021,36,Fulham,18753,Adama Traoré,78,11,M,6.7,False,True,1,,,0,20,,14,1,,,20,10,9,4,2,3,0,0
1208021,36,Fulham,1161,Emile Smith Rowe,64,32,M,6.9,False,True,,,,0,26,,20,1,,2,3,3,,,1,,0,0
1208021,36,Fulham,1455,Alex Iwobi,90,17,M,6.3,False,True,1,,,0,25,,18,4,,,15,5,5,1,,1,0,0
